ROUTING KEY,DESCRIPTOR
A41,BALLYBOUGHAL
A42,GARRISTOWN
A45,OLDTOWN
A63,GREYSTONES
A67,WICKLOW
A75,CASTLEBLAYNEY
A81,CARRICKMACROSS
A82,KELLS
A83,ENFIELD
A84,ASHBOURNE
A85,DUNSHAUGHLIN
A86,DUNBOYNE
A91,DUNDALK
A92,DROGHEDA
A94,BLACKROCK
A96,GLENAGEARY
A98,BRAY
C15,NAVAN
D01,DUBLIN 1
D02,DUBLIN 2
D03,DUBLIN 3
D04,DUBLIN 4
D05,DUBLIN 5
D06,DUBLIN 6
D07,DUBLIN 7
D08,DUBLIN 8
D09,DUBLIN 9
D10,DUBLIN 10
D11,DUBLIN 11
D12,DUBLIN 12
D13,DUBLIN 13
D14,DUBLIN 14
D15,DUBLIN 15
D16,DUBLIN 16
D17,DUBLIN 17
D18,DUBLIN 18
D20,DUBLIN 20
D22,DUBLIN 22
D24,DUBLIN 24
D6W,DUBLIN 6W
E21,CAHIR
E25,CASHEL
E32,CARRICK-ON-SUIR
E34,TIPPERARY
E41,THURLES
E45,NENAGH
E53,ROSCREA
E91,CLONMEL
F12,CLAREMORRIS
F23,CASTLEBAR
F26,BALLINA
F28,WESTPORT
F31,BALLINROBE
F35,BALLYHAUNIS
F42,ROSCOMMON
F45,CASTLEREA
F52,BOYLE
F56,BALLYMOTE
F91,SLIGO
F92,LETTERKENNY
F93,LIFFORD
F94,DONEGAL
H12,CAVAN
H14,BELTURBET
H16,COOTEHILL
H18,MONAGHAN
H23,CLONES
H53,BALLINASLOE
H54,TUAM
H62,LOUGHREA
H65,ATHENRY
H71,CLIFDEN
H91,GALWAY
K32,BALBRIGGAN
K34,SKERRIES
K36,MALAHIDE
K45,LUSK
K56,RUSH
K67,SWORDS
K78,LUCAN
N37,ATHLONE
N39,LONGFORD
N41,CARRICK-ON-SHANNON
N91,MULLINGAR
P12,MACROOM
P14,CORK - CROOKSTOWN
P17,KINSALE
P24,COBH
P25,MIDLETON
P31,BALLINCOLLIG
P32,CORK - DONOUGHMORE
P36,YOUGHAL
P43,CARRIGALINE
P47,CORK - DUNMANWAY
P51,MALLOW
P56,CHARLEVILLE
P61,FERMOY
P67,MITCHELSTOWN
P72,BANDON
P75,BANTRY
P81,SKIBBEREEN
P85,CLONAKILTY
R14,ATHY
R21,MUINE BHEAG
R32,PORTLAOISE
R35,TULLAMORE
R42,BIRR
R45,EDENDERRY
R51,KILDARE
R56,CURRAGH CAMP
R93,CARLOW
R95,KILKENNY
T12,CORK - BALLINHASSIG
T23,CORK - BLARNEY
T34,CORK - WHITECHURCH
T45,LITTLE ISLAND
T56,CORK - WATERGRASSHILL
V14,SHANNON
V15,KILRUSH
V23,CAHERCIVEEN
V31,LISTOWEL
V35,KILMALLOCK
V42,NEWCASTLE WEST
V92,TRALEE
V93,KILLARNEY
V94,LIMERICK
V95,ENNIS
W12,NEWBRIDGE
W23,MAYNOOTH
W34,MONASTEREVIN
W91,NAAS
X35,DUNGARVAN
X42,KILMACTHOMAS
X91,WATERFORD
Y14,ARKLOW
Y21,ENNISCORTHY
Y25,GOREY
Y34,NEW ROSS
Y35,WEXFORD
